tweet_id,created_at,date,hour,weekday,username,platform,country,tweet_text_raw,text_clean,likes,retweets,sentiment_score,sentiment
t001,2026-08-01 08:00:00,2026-08-01,8,Saturday,alice,Web,United States,"Loved the new dashboard! It is fast, clear, and super helpful 😊",loved new dashboard fast clear super helpful,0.0,0.0,0.9846013537608087,Positive
t002,2026-08-02 00:00:00,2026-08-02,0,Sunday,bob_22,Web,United States,The update is terrible... app crashed twice. https://example.com/help,update terrible app crashed twice URL,37.0,11.0,-0.9448261572979391,Negative
t003,2026-08-03 00:00:00,2026-08-03,0,Monday,carol,Web,United Kingdom,Trying the new feature today. Not sure what I think yet.,trying new feature today sure think yet,74.0,22.0,0.05710693448781967,Neutral
t004,2026-08-04 12:10:00,2026-08-04,12,Tuesday,david,Mobile,Canada,Great work @team!!! Version 2.0 feels much smoother #update,great work USER version NUMBER feel much smoother update,111.0,33.0,0.9846684371586889,Positive
t005,2026-08-05 12:28:00,2026-08-05,12,Wednesday,emma,Mobile,United States,Why is login still broken??? This is so frustrating 😡,login still broken frustrating,148.0,44.0,-0.9470732999034226,Negative
t006,2026-08-06 00:00:00,2026-08-06,0,Thursday,frank,Mobile,United Kingdom,Downloaded it. Will test later.,downloaded test later,185.0,55.0,0.13983468618243933,Neutral
t007,2026-08-07 00:00:00,2026-08-07,0,Friday,grace,iOS,Canada,"Amazing service, thank you!!!",amazing service thank,222.0,66.0,0.9774291249923408,Positive
t008,2026-08-08 12:10:00,2026-08-08,12,Saturday,henry,iOS,United States,Support never replied to my email. disappointed.,support never replied email disappointed,259.0,7.0,-0.9160329266451299,Negative
t009,2026-08-09 16:56:00,2026-08-09,16,Sunday,ivy,Android,United States,New interface launched today #design,new interface launched today design,296.0,18.0,0.7298030769452453,Positive
t010,2026-08-10 00:00:00,2026-08-10,0,Monday,jack,Android,United Kingdom,The search works sooo much better now!!! 10/10,search work sooo much better NUMBER NUMBER,333.0,29.0,0.975101547781378,Positive
t011,2026-08-11 00:00:00,2026-08-11,0,Tuesday,alice,Web,United States,Really enjoying the cleaner layout and quicker loading time! #product,really enjoying cleaner layout quicker loading time product,370.0,40.0,0.9795971976127476,Positive
t012,2026-08-12 12:10:00,2026-08-12,12,Wednesday,bob_22,Web,United States,"Not happy with the latest change, it takes forever to open.",happy latest change take forever open,407.0,51.0,-0.9157063029706478,Negative
t013,2026-08-01 08:24:00,2026-08-01,8,Saturday,carol,Web,United Kingdom,Just installed the update and exploring the settings.,installed update exploring setting,24.0,62.0,0.15693123638629913,Neutral
t014,2026-08-02 00:00:00,2026-08-02,0,Sunday,david,Mobile,Canada,Customer support was fantastic today. Thanks @support!,customer support fantastic today thanks USER,61.0,3.0,0.9818303873762488,Positive
